HymnNumber,Title,Tune,PrintedStanzaCount,VerificationStatus,VerificationSource,VerifiedBy,VerifiedDate,ReviewNote
409,"Hail, O Source of Every Blessing",O DURCHBRECHER,,PENDING,,,,
410,Within the Father's House,FRANCONIA,,PENDING,,,,
411,I Want to Walk as a Child of the Light,HOUSTON,,PENDING,,,,
412,The People That in Darkness Sat,"LOBT GOTT, IHR CHRISTEN",,PENDING,,,,
413,O Wondrous Type! O Vision Fair,DEO GRACIAS,,PENDING,,,,
414,"'Tis Good, Lord, to Be Here",POTSDAM,,PENDING,,,,
415,Jesus on the Mountain Peak,SEWARD,,PENDING,,,,
416,Swiftly Pass the Clouds of Glory,LOVE'S LIGHT,,PENDING,,,,
417,"Alleluia, Song of Gladness",LAUDA ANIMA,,PENDING,,,,
418,"O Lord, Throughout These Forty Days",CAITHNESS,,PENDING,,,,
419,"Savior, When in Dust to Thee",ABERYSTWYTH,,PENDING,,,,
420,"Christ, the Life of All the Living","JESU, MEINES LEBENS LEBEN",,PENDING,,,,
421,"Jesus, Grant That Balm and Healing",DER AM KREUZ,,PENDING,,,,
422,On My Heart Imprint Your Image,DER AM KREUZ,,PENDING,,,,
423,"Jesus, Refuge of the Weary",O DU LIEBE MEINER LIEBE,,PENDING,,,,
424,"O Christ, You Walked the Road",SOUTHWELL,,PENDING,,,,
425,When I Survey the Wondrous Cross,HAMBURG,,PENDING,,,,
426,When I Survey the Wondrous Cross,ROCKINGHAM OLD,,PENDING,,,,
427,In the Cross of Christ I Glory,RATHBUN,,PENDING,,,,
428,"Cross of Jesus, Cross of Sorrow",CROSS OF JESUS,,PENDING,,,,
429,We Sing the Praise of Him Who Died,WINDHAM,,PENDING,,,,
430,My Song Is Love Unknown,LOVE UNKNOWN,,PENDING,,,,
431,Not All the Blood of Beasts,SOUTHWELL,,PENDING,,,,
432,In Silent Pain the Eternal Son,REALITY,,PENDING,,,,
433,Glory Be to Jesus,WEM IN LEIDENSTAGEN,,PENDING,,,,
434,"Lamb of God, Pure and Holy","O LAMM FOTTES, UNSCHULDIG",,PENDING,,,,
435,Come to Calvary's Holy Mountain,NAAR MIT OIE,,PENDING,,,,
436,Go to Dark Gethsemane,GETHSEMANE,,PENDING,,,,
437,Alas! And Did My Savior Bleed,MARTYDOM,,PENDING,,,,
438,A Lamb Goes Uncomplaining Forth,AN WASSERFLUSSEN BABYLON,,PENDING,,,,
439,"O Dearest Hesus, What Law Hast Thou Broken",HERZLIEBSTER JESU,,PENDING,,,,
440,"Jesus, I Will Ponder Now","JESU KREUZ, LEIDEN UND PEIN",,PENDING,,,,
441,"Ride On, Ride on in Majesty",WINCHESTER NEW,,PENDING,,,,
442,"All Glory, Laud, and Honor",VALET WILL ICH DIR GEBEN,,PENDING,,,,
443,"Hosanna, Loud Hosanna",ELLACOMBE,,PENDING,,,,
444,No Tramp of Soldiers' Marching Feet,KINGSFOLD,,PENDING,,,,
445,When You Woke That Thursday Morning,JOYOUS LIGHT,,PENDING,,,,
446,"Jesus, Greatest at the Table",NEW MALDEN,,PENDING,,,,
447,"Jesus, in Your Dying Woes",SEPTEM VERBA,,PENDING,,,,
448,O Darkest Woe,O TRAURIGKEIT,,PENDING,,,,
449,"O Sacred Head, Now Wounded",HERZLICH TUT MICH VERLANGEN (Isorhythmic),,PENDING,,,,
450,"O Sacred Head, Now Wounded",HERZLICH TUT MICH VERLANGEN (Rhythmic),,PENDING,,,,
451,"Stricken, Smitten, and Afflicted","O MEIN JESU, ICH MUSS STERBEN",,PENDING,,,,
452,O Perfect Life of Love,SOUTHWELL,,PENDING,,,,
453,Upon the Cross Extended,"O WELT, ICH MUSS DICH LASSEN",,PENDING,,,,
454,"Sing, My Tongue, the Glorious Battle",FORTUNATUS NEW,,PENDING,,,,
455,The Royal Banners Forward Go,VEXILLA REGIS NOVA,,PENDING,,,,
456,Were You There,WERE YOU THERE,,PENDING,,,,
457,Jesus Christ Is Risen Today,EASTER HYMN,,PENDING,,,,
458,Christ Jesus Lay in Death's Strong Bands,CHRIST LAG IN TODESBANDEN,,PENDING,,,,
459,Christ Is Arisen,CHRIST IST ERSTANDEN,,PENDING,,,,
460,"Christians, to the Paschal Victim",VICTIMAE PASCHALI,,PENDING,,,,
461,I Know That My Redeemer Lives,DUKE STREET,,PENDING,,,,
462,All the Earth with Joy Is Sounding,MICHAEL,,PENDING,,,,
463,Christ the Lord Is Risen Today; Alleluia,LLANFAIR,,PENDING,,,,
464,"The Strife Is O'er, the Battle Done",VICTORY,,PENDING,,,,
465,Now All the Vault of Heaven Resounds,LASST UNS ERFREUEN,,PENDING,,,,
466,"Christ Has Arisen, Alleluia",MFURAHINI HALELUYA,,PENDING,,,,
467,"Awake, My Heart, with Gladness","AUF, AUF, MEIN HERZ",,PENDING,,,,
468,I Am Content! My Jesus Ever Lives,ES IST GENUG,,PENDING,,,,
469,Christ the Lord Is Risen Today,ORIENTIS PARTIBUS,,PENDING,,,,
470,O Sons and Daughters of the King,GELOBT SEI GOTT,,PENDING,,,,
471,O Sons and Daughters of the King,O FILII ET FILIAE,,PENDING,,,,
472,These Things Did Thomas Count as Real,REALITER,,PENDING,,,,
473,"Our Paschal Lamb, That Sets Us Free",REGION THREE,,PENDING,,,,
474,Alleluia! Jesus Is Risen,EARTH AND ALL STARS,,PENDING,,,,
475,"Good Christian Friends, Rejoice and Sing",GELOBT SEI GOTT,,PENDING,,,,
476,Who Are You Who Walk in Sorrow,JEFFERSON,,PENDING,,,,
477,"Alleluia, Alleluia! Hearts to Heaven",HYMN TO JOY,,PENDING,,,,
478,The Day of Resurrection,LANCASHIRE,,PENDING,,,,
479,"Christ Is Risen, Christ Is Living",CENTRAL,,PENDING,,,,
480,"He's Risen, He's Risen",WALTHER,,PENDING,,,,
481,"Scatter the Darkness, Break the Gloom",BESANCON,,PENDING,,,,
482,This Joyful Eastertide,VREUCHTEN,,PENDING,,,,
483,With High Delight Let Us Unite,MIT FREUDEN ZART,,PENDING,,,,
484,Make Songs of Joy,ZPIVEJMEZ VSICKNI VESELE,,PENDING,,,,
485,Long Before the World Is Waking,ALL SAINTS,,PENDING,,,,
486,If Christ Had Not Been Raised from Death,UNION CITY,,PENDING,,,,
487,"Come, You Faithful, Raise the Strain",GAUDEAMUS PARITER,,PENDING,,,,
488,He Is Arisen! Glorious Word,WIE SCHON LEUCHTET,,PENDING,,,,
489,"Hail Thee, Festival Day",SALVE FESTA DIES,,PENDING,,,,
490,Jesus Lives! The Victory's Won,"JESUS, MEINE ZUVERSICHT",,PENDING,,,,
491,Up Through Endless Ranks of Angels,ASCENDED TRIUMPH,,PENDING,,,,
492,On Christ's Ascension I Now Build,NUN FREUT EUCH,,PENDING,,,,
493,A Hymn of Glory Let Us Sing,LASST UNS ERFREUEN,,PENDING,,,,
494,"See, the Lord Ascends in Triumph",REX GLORIAE,,PENDING,,,,
495,"Look, Ye Saints, the Sight Is Glorious",BRYN CALFARIA,,PENDING,,,,
496,"Holy Spirit, Light Divine",SONG 13,,PENDING,,,,
497,"Come, Holy Ghost, God and Lord","KOMM, HEILIGER GEIST, HERRE GOTT",,PENDING,,,,
498,"Come, Holy Ghost, Creator Blest","KOMM, GOTT SCHOPFER",,PENDING,,,,
499,"Come, Holy Ghost, Creator Blest",VENI CREATOR SPIRITUS,,PENDING,,,,
500,"Creator Spirit, by Whose Aid",ALL EHR UND LOB,,PENDING,,,,
501,"Come Down, O Love Divine",DOWN AMPNEY,,PENDING,,,,
502,"Holy Spirit, the Dove Sent from Heaven",SANTO ESPIRITU,,PENDING,,,,
503,O Day Full of Grace,DEN SIGNEDE DAG,,PENDING,,,,
504,Father Most Holy,CHRISTE SANCTORUM,,PENDING,,,,
505,"Triune God, Be Thou Our Stay","GOTT DER VATER, WOHN UNS BEI",,PENDING,,,,
506,Glory Be to God the Father,WORCESTER,,PENDING,,,,
507,"Holy, Holy, Holy",NICAEA,,PENDING,,,,
508,The Day Is Surely Drawing Near,ES IST GEWISSLICH,,PENDING,,,,
509,Christ Is Surely Coming,KING'S WESTON,,PENDING,,,,
510,A Multitude Comes from the East and the West,DER MANGE SKAL KOMME,,PENDING,,,,
511,"Herald, Sound the Note of Judgment",NEW MALDEN,,PENDING,,,,
512,At the Name of Jesus,KING'S WESTON,,PENDING,,,,
513,The Clouds of Judgment Gather,LLANGLOFFAN,,PENDING,,,,
514,The Bridegroom Soon Will Call Us,ACH GOTT VON HIMMELREICHE,,PENDING,,,,
515,"Rejoice, Rejoice, Believers",HAF TRONES LAMPA FARDIG,,PENDING,,,,
516,"Wake, Awake, for Night Is Flying",WACHET AUF,,PENDING,,,,
517,By All Your Saints in Warfare,KING'S LYNN,,PENDING,,,,
518,By All Your Saints in Warfare,KING'S LYNN,,PENDING,,,,
519,In His Temple Now Behold Him,WESTMINSTER ABBEY,,PENDING,,,,
520,"Stars of the Morning, So Gloriously Bright",O QUANTA QUALIA,,PENDING,,,,
521,"Christ, the Lord of Hosts, Unshaken",FORTUNATUS NEW,,PENDING,,,,
522,"Lord God, to Thee We Give All Praise","ERHALT UNS, HERR",,PENDING,,,,
523,O Word of God Incarnate,MUNICH,,PENDING,,,,
524,How Sweet the Name of Jesus Sounds,ST. PETER,,PENDING,,,,
525,Crown Him with Many Crowns,DIADEMATA,,PENDING,,,,
526,You Are the Way; Through You Alone,DUNDEE,,PENDING,,,,
527,"O Savior, Precious Savior",ANGEL'S STORY,,PENDING,,,,
528,"Oh, for a Thousand Tongues to Sing",AZMON,,PENDING,,,,
529,"Since Our Great High Priest, Christ Jesus",ALL SAINTS,,PENDING,,,,
530,"No Temple Now, No Gift of Price",KIRKWOOD,,PENDING,,,,
531,"Hail, Thou Once Despised Jesus",O DURCHBRECHER,,PENDING,,,,
532,The Head That Once Was Crowned with Thorns,ST. MAGNUS,,PENDING,,,,
533,Jesus Has Come and Brings Pleasure,"JESUS IST KOMMEN, GRUND EWIGER FREUDE",,PENDING,,,,
534,"Lord, Enthroned in Heavenly Splendor",BRYN CALFARIA,,PENDING,,,,
535,How Wide the Love of Christ,SWABIA,,PENDING,,,,
536,One Thing's Needful,EINS IST NOT,,PENDING,,,,
537,Beautiful Savior,SCHONSTER HERR JESU,,PENDING,,,,
538,Praise Be to Christ,O GROSSER GOTT,,PENDING,,,,
539,Christ Is the World's Redeemer,MOVILLE,,PENDING,,,,
540,"Christ, the Word of God Incarnate",HOLY MANNA,,PENDING,,,,
541,"""Away from Us!"" the Demon Cried",MCKEE,,PENDING,,,,
542,When I Behold Jesus Christ,MIN AYNET FIQIR NEW,,PENDING,,,,
543,What Wondrous Love Is This,WONDROUS LOVE,,PENDING,,,,
544,"O Love, How Deep",DEO GRACIAS,,PENDING,,,,
545,"Word of God, Come Down on Earth","LIEBSTER JESU, WIR SIND HIER",,PENDING,,,,
